Timestamp;TravelTimeMs;LocalTimeStamp
10/09/2019 06:00;1283684;10/09/2019 08:00
10/09/2019 06:01;1258316;10/09/2019 08:01
10/09/2019 06:02;1326786;10/09/2019 08:02
10/09/2019 06:03;1333668;10/09/2019 08:03
10/09/2019 06:04;1314002;10/09/2019 08:04
10/09/2019 06:05;1341141;10/09/2019 08:05
10/09/2019 06:06;1326112;10/09/2019 08:06
10/09/2019 06:07;1299094;10/09/2019 08:07
10/09/2019 06:08;1351386;10/09/2019 08:08
10/09/2019 06:09;1322926;10/09/2019 08:09
10/09/2019 06:10;1323540;10/09/2019 08:10
10/09/2019 06:11;1326851;10/09/2019 08:11
10/09/2019 06:12;1335013;10/09/2019 08:12
10/09/2019 06:13;1296258;10/09/2019 08:13
10/09/2019 06:14;1281206;10/09/2019 08:14
10/09/2019 06:15;1282665;10/09/2019 08:15
10/09/2019 06:16;1274742;10/09/2019 08:16
10/09/2019 06:17;1273629;10/09/2019 08:17
10/09/2019 06:18;1261722;10/09/2019 08:18
10/09/2019 06:19;1309113;10/09/2019 08:19
10/09/2019 06:20;1339082;10/09/2019 08:20
10/09/2019 06:21;1347447;10/09/2019 08:21
10/09/2019 06:22;1342602;10/09/2019 08:22
10/09/2019 06:23;1353129;10/09/2019 08:23
10/09/2019 06:24;1432949;10/09/2019 08:24
10/09/2019 06:25;1355349;10/09/2019 08:25
10/09/2019 06:26;1367337;10/09/2019 08:26
10/09/2019 06:27;1410777;10/09/2019 08:27
10/09/2019 06:28;1404635;10/09/2019 08:28
10/09/2019 06:29;1415624;10/09/2019 08:29
10/09/2019 06:30;1445777;10/09/2019 08:30
10/09/2019 06:31;1406099;10/09/2019 08:31
10/09/2019 06:32;1415251;10/09/2019 08:32
10/09/2019 06:33;1442173;10/09/2019 08:33
10/09/2019 06:34;1403661;10/09/2019 08:34
10/09/2019 06:35;1392210;10/09/2019 08:35
10/09/2019 06:36;1382292;10/09/2019 08:36
10/09/2019 06:37;1414013;10/09/2019 08:37
10/09/2019 06:38;1406344;10/09/2019 08:38
10/09/2019 06:39;1369423;10/09/2019 08:39
10/09/2019 06:40;1389625;10/09/2019 08:40
10/09/2019 06:41;1424084;10/09/2019 08:41
10/09/2019 06:42;1338997;10/09/2019 08:42
10/09/2019 06:43;1373062;10/09/2019 08:43
10/09/2019 06:44;1431914;10/09/2019 08:44
10/09/2019 06:45;1432216;10/09/2019 08:45
10/09/2019 06:46;1404193;10/09/2019 08:46
10/09/2019 06:47;1367769;10/09/2019 08:47
10/09/2019 06:48;1327949;10/09/2019 08:48
10/09/2019 06:49;1351753;10/09/2019 08:49
10/09/2019 06:50;1338189;10/09/2019 08:50
10/09/2019 06:51;1259871;10/09/2019 08:51
10/09/2019 06:52;1230735;10/09/2019 08:52
10/09/2019 06:53;1218283;10/09/2019 08:53
10/09/2019 06:54;1228645;10/09/2019 08:54
10/09/2019 06:55;1255480;10/09/2019 08:55
10/09/2019 06:56;1249825;10/09/2019 08:56
10/09/2019 06:57;1274452;10/09/2019 08:57
10/09/2019 06:58;1236452;10/09/2019 08:58
10/09/2019 06:59;1220296;10/09/2019 08:59
10/09/2019 07:00;1174996;10/09/2019 09:00
