Timestamp;TravelTimeMs;LocalTimeStamp
13/09/2019 06:00;1345063;13/09/2019 08:00
13/09/2019 06:01;1376034;13/09/2019 08:01
13/09/2019 06:02;1402659;13/09/2019 08:02
13/09/2019 06:03;1318083;13/09/2019 08:03
13/09/2019 06:04;1343324;13/09/2019 08:04
13/09/2019 06:05;1424329;13/09/2019 08:05
13/09/2019 06:06;1417592;13/09/2019 08:06
13/09/2019 06:07;1333115;13/09/2019 08:07
13/09/2019 06:08;1299252;13/09/2019 08:08
13/09/2019 06:09;1291968;13/09/2019 08:09
13/09/2019 06:10;1280941;13/09/2019 08:10
13/09/2019 06:11;1228438;13/09/2019 08:11
13/09/2019 06:12;1245894;13/09/2019 08:12
13/09/2019 06:13;1228547;13/09/2019 08:13
13/09/2019 06:14;1281080;13/09/2019 08:14
13/09/2019 06:15;1254897;13/09/2019 08:15
13/09/2019 06:16;1194151;13/09/2019 08:16
13/09/2019 06:17;1184915;13/09/2019 08:17
13/09/2019 06:18;1210548;13/09/2019 08:18
13/09/2019 06:19;1184526;13/09/2019 08:19
13/09/2019 06:20;1196041;13/09/2019 08:20
13/09/2019 06:21;1158931;13/09/2019 08:21
13/09/2019 06:22;1169684;13/09/2019 08:22
13/09/2019 06:23;1131204;13/09/2019 08:23
13/09/2019 06:24;1121993;13/09/2019 08:24
13/09/2019 06:25;1083281;13/09/2019 08:25
13/09/2019 06:26;1087089;13/09/2019 08:26
13/09/2019 06:27;1117694;13/09/2019 08:27
13/09/2019 06:28;1113478;13/09/2019 08:28
13/09/2019 06:29;1107275;13/09/2019 08:29
13/09/2019 06:30;1087011;13/09/2019 08:30
13/09/2019 06:31;1103961;13/09/2019 08:31
13/09/2019 06:32;1061941;13/09/2019 08:32
13/09/2019 06:33;984345;13/09/2019 08:33
13/09/2019 06:34;1000130;13/09/2019 08:34
13/09/2019 06:35;951575;13/09/2019 08:35
13/09/2019 06:36;971487;13/09/2019 08:36
13/09/2019 06:37;967251;13/09/2019 08:37
13/09/2019 06:38;1030098;13/09/2019 08:38
13/09/2019 06:39;1041981;13/09/2019 08:39
13/09/2019 06:40;997448;13/09/2019 08:40
13/09/2019 06:41;1062833;13/09/2019 08:41
13/09/2019 06:42;1055303;13/09/2019 08:42
13/09/2019 06:43;1006046;13/09/2019 08:43
13/09/2019 06:44;980338;13/09/2019 08:44
13/09/2019 06:45;942497;13/09/2019 08:45
13/09/2019 06:46;957710;13/09/2019 08:46
13/09/2019 06:47;944136;13/09/2019 08:47
13/09/2019 06:48;918042;13/09/2019 08:48
13/09/2019 06:49;913885;13/09/2019 08:49
13/09/2019 06:50;909883;13/09/2019 08:50
13/09/2019 06:51;889878;13/09/2019 08:51
13/09/2019 06:52;901009;13/09/2019 08:52
13/09/2019 06:53;916075;13/09/2019 08:53
13/09/2019 06:54;932831;13/09/2019 08:54
13/09/2019 06:55;935430;13/09/2019 08:55
13/09/2019 06:56;927393;13/09/2019 08:56
13/09/2019 06:57;910314;13/09/2019 08:57
13/09/2019 06:58;888571;13/09/2019 08:58
13/09/2019 06:59;878121;13/09/2019 08:59
13/09/2019 07:00;913788;13/09/2019 09:00
